id,account_id,name,position,ownerEl,slave,income_list,code,level,ind_nature,creditor,debtor,has_sub,is_sub,ind_to_cost,ind_analysis,ind_added_date,ind_others,coin_id,index_company_id,barcode,buy_value,prev_damage,net_value,working_date,buy_date,annual_damage_rate,age,damage_type
112,1,مستلزمات كومبيوتر وأدوات مكتبيه,6,60,...,0,40107,3,,0,0,,...,0,0,9/12/2023 20:22,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,1, *  *  مستلزمات كمبيوتر وادوات مكتبية الشركه,0,112,...,0,4010701,4,,0,0,1,...,0,0,10/7/2024 19:24,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,1,مستلزمات كمبيوتر وادوات مكتبيه عهده الدفتر,1,113,...,0,401070101,5,0,0,0,0,...,0,0,8/23/2024 17:08,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,1,مستلزمات كمبيوتر وادوات مكتبيه عهده ناجح ,1,113,...,0,401070102,5,0,0,0,0,...,0,0,8/23/2024 17:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,1,مستلزمات كمبيوتر وادوات مكتبيه عهده احمد سلامه,1,113,...,0,401070103,5,0,0,0,0,...,0,0,8/23/2024 17:08,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,1,مستلزمات كمبيوتر وادوات مكتبيه مخازن مسطرد,1,113,...,0,401070104,5,0,0,0,0,...,0,0,8/23/2024 17:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,1,مستلزمات كمبيوتر وادوات مكتبيه مخزن ش.الجيش,1,113,...,0,401070105,5,0,0,0,0,...,0,0,8/23/2024 17:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,1,مستلزمات كمبيوتر وادوات مكتبيه عهده اسلام,1,113,...,0,401070106,5,0,0,0,0,...,0,0,8/23/2024 17:08,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,1,مستلزمات كمبيوتر وادوات مكتبيه عهده حسام ,1,113,...,0,401070107,5,0,0,0,0,...,0,0,8/23/2024 17:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,1, المكتب العلمي -مستلزمات كمبيوتر وادوات مكتبية,1,112,...,0,4010702,4,,0,0,0,...,0,0,11/4/2024 10:18,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,1, مكتب الاستيراد -مستلزمات كمبيوتر وادوات مكتبية,2,112,...,0,4010703,4,,0,0,0,...,0,0,11/4/2024 10:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,1, مكتب التطوير -مستلزمات كمبيوتر وادوات مكتبية,3,112,...,0,4010704,4,,0,0,0,...,0,0,11/4/2024 10:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,1,مصروفات محاماه,7,60,...,0,40108,3,,0,0,,...,,0,9/12/2023 20:24,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,1,ايمن عزب ,0,124,...,0,4010801,4,,0,0,,...,,0,9/12/2023 20:24,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,1,عمر المختار,1,124,...,0,4010802,4,,0,0,,...,,0,9/12/2023 20:24,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,1,عصام عجايبي ,2,124,...,0,4010803,4,,0,0,,...,,0,9/12/2023 20:24,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,1,صيانات,8,60,...,0,40109,3,,0,0,,...,,0,10/7/2024 19:29,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,1, *  *  صيانات الشركه,0,128,...,0,4010901,4,,0,0,1,...,0,0,10/7/2024 19:27,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,1,صيانات - الدفتر,1,129,...,0,401090102,5,0,0,0,0,...,0,0,11/4/2024 11:33,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,1,صيانات - ناجح ,1,129,...,0,401090102,5,0,0,0,0,...,0,0,11/4/2024 11:33,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,1,صيانات - مخازن مسطرد,1,129,...,0,401090103,5,0,0,0,0,...,0,0,11/4/2024 11:33,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,1,صيانات - مخزن ش.الجيش ,1,129,...,0,401090104,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,1,صيانات - اسلام,1,129,...,0,401090105,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,1,صيانات - حسام ,1,129,...,0,401090106,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,1, المكتب العلمي -صيانات,1,128,...,0,4010902,4,,0,0,0,...,0,0,11/4/2024 10:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,1,مكتب الاستيراد -صيانات,2,128,...,0,4010903,4,,0,0,0,...,0,0,11/4/2024 10:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,1, مكتب التطوير -صيانات,3,128,...,0,4010904,4,,0,0,0,...,0,0,11/4/2024 10:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,1,كهرباء,9,60,...,0,40110,3,,0,0,,...,,0,9/12/2023 20:26,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,1, *  * استهلاك كهرباء الشركه,0,139,...,0,4011001,4,,0,0,1,...,0,0,10/7/2024 19:29,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,1,استهلاك كهرباء -  المعرض,1,140,...,0,401100101,5,0,0,0,0,...,0,0,11/4/2024 12:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,1,استهلاك كهرباء -  مخزن مسطرد,1,140,...,0,401100102,5,0,0,0,0,...,0,0,11/4/2024 12:16,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,1, استهلاك كهرباء - مخزن الجيش ,1,140,...,0,401100103,5,0,0,0,0,...,0,0,11/4/2024 12:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,1, استهلاك كهرباء - مخزن الخرنفش ,1,140,...,0,401100104,5,0,0,0,0,...,0,0,11/4/2024 12:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,1, المكتب العلمي - استهلاك كهرباء,1,139,...,0,4011002,4,,0,0,0,...,0,0,11/4/2024 10:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,1,مكتب الاستيراد -استهلاك كهرباء,2,139,...,0,4011003,4,,0,0,0,...,0,0,11/4/2024 10:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,1, مكتب التطوير -استهلاك كهرباء,3,139,...,0,4011004,4,,0,0,0,...,0,0,11/4/2024 10:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,1,مياه,10,60,...,0,40111,3,,0,0,,...,,0,9/12/2023 20:28,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,1, *  *  *استهلاك مياه الشركه,0,148,...,0,4011101,4,,0,0,1,...,0,0,10/9/2024 14:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,1,المعرض,1,149,...,0,401110101,5,0,0,0,0,...,0,0,10/7/2024 19:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,1,مخزن مسطرد,1,149,...,0,401110102,5,0,0,0,0,...,0,0,10/7/2024 19:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,1, مخزن الجيش ,1,149,...,0,401110103,5,0,0,0,0,...,0,0,10/7/2024 19:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,1, مخزن الخرنفش ,1,149,...,0,401110104,5,0,0,0,0,...,0,0,10/7/2024 19:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,1,المكتب العلمي -استهلاك مياه,1,148,...,0,4011102,4,,0,0,0,...,0,0,11/4/2024 10:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,1,مكتب الاستيراد -استهلاك مياه,2,148,...,0,4011103,4,,0,0,0,...,0,0,11/4/2024 10:21,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,1, مكتب التطوير -استهلاك مياه,3,148,...,0,4011104,4,,0,0,0,...,0,0,11/4/2024 10:21,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,1,دعاية واعلان,11,60,...,0,40112,3,,0,0,,...,,0,6/19/2025 15:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,1, الشركة -دعايا واعلان,0,157,...,0,4011201,4,,0,0,0,...,0,0,11/4/2024 10:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,1,المكتب العلمي -دعايا واعلان,1,157,...,0,4011202,4,,0,0,0,...,0,0,11/4/2024 10:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
